Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
32,0.99302214,0.003096058,0.00045397424,5.069205e-05,0.002272519,4.6699664e-05,0.00073168497,0.00010622283,4.099045e-05,0.00017928223
33,0.59719884,0.084883176,0.011094592,0.008947327,0.051523875,0.008091574,0.09920156,0.08884911,0.004268026,0.045941994
34,0.36483595,0.02456678,0.042954143,0.035860114,0.13525765,0.12431767,0.059092082,0.0867884,0.073182255,0.05314501
35,0.17050524,0.09172749,0.007965782,0.5625928,0.056763217,0.04843374,0.033406973,0.007313972,0.0052018277,0.016088914
36,0.19183518,0.11479204,0.27584618,0.14065039,0.039267354,0.17610385,0.013149084,0.01586105,0.014945057,0.017549893
37,0.9871181,0.0044691325,0.000484178,0.0014052895,0.0014002261,0.00028332954,0.001670575,0.0025868327,1.5365924e-05,0.0005668496
38,0.9936593,0.0007223184,0.0002057873,1.5875123e-05,0.0037100408,0.00020611336,0.00066845334,9.2782684e-05,5.971529e-05,0.0006596744
39,0.9910608,0.0037244966,0.00014403739,0.00014295615,0.0035917333,7.8839315e-05,0.00054652966,0.00067463407,7.2174294e-06,2.8979532e-05
40,0.20376664,0.50028145,0.012609722,0.06512132,0.07768151,0.041370183,0.06331289,0.009875691,0.019695675,0.0062849545
41,0.5013292,0.026983365,0.024454901,0.01623592,0.106935404,0.021127464,0.08646415,0.14475444,0.01923415,0.05248112
42,0.24110223,0.67880934,0.012428494,0.017037615,0.009354895,0.007257553,0.01510759,0.0099573415,0.0058391145,0.003105728
43,0.13744521,0.025163062,0.5520785,0.003610416,0.054670434,0.14458095,0.017030118,0.014207121,0.04508494,0.0061293687
44,0.2883598,0.08132103,0.112564966,0.07360701,0.08151667,0.057504274,0.06719734,0.109533645,0.06098707,0.06740832
45,0.64730024,0.14816913,0.017222278,0.046335977,0.030527923,0.023376865,0.036966488,0.032985836,0.007954362,0.009160804
46,0.11334084,0.883229,0.00041118817,0.000310698,0.0008290888,0.00018778192,0.0015563468,6.134926e-05,4.698243e-05,2.6784774e-05
47,0.26898566,0.66644293,0.0045986227,0.021519868,0.011021737,0.0049108607,0.01725376,0.0015475951,0.0028658267,0.0008531013
48,0.8897755,0.09182989,0.00084609713,0.0005668541,0.005537462,0.00035677027,0.008898591,0.00039834873,0.00026007326,0.0015302828
49,0.17510557,0.018769544,0.008193129,0.46110973,0.08370048,0.037210226,0.053647395,0.14022516,0.0066829757,0.015355767
50,0.36739776,0.08089591,0.04659653,0.10993675,0.046106264,0.062165458,0.062389877,0.10405838,0.076758444,0.043694552
51,0.04572147,0.94388205,0.00512272,0.00023448085,0.0011404114,0.0013316233,0.0016258906,1.2477809e-05,0.0008704982,5.8388498e-05
52,0.0824953,0.006314898,0.60878056,0.007816882,0.13781746,0.119607076,0.010617908,0.0028516336,0.022848045,0.0008501153
53,0.26290533,0.04958737,0.018749585,0.22846426,0.068560205,0.2602738,0.03477099,0.030768143,0.030911785,0.015008436
54,0.5678451,0.0072609447,0.0015136161,0.01829975,0.07636929,0.01367411,0.06781493,0.22242898,0.0011681425,0.02362498
55,0.008340205,0.007680836,0.92946815,0.000103602666,0.0053340695,0.03373167,0.0015102641,3.0181222e-05,0.0137085635,9.250165e-05
56,0.057677574,0.058980316,0.6276921,0.010695149,0.027811369,0.055204976,0.03162483,0.0033775656,0.105934985,0.021001164
57,0.1622691,0.07420063,0.03989667,0.089254715,0.17015468,0.2223119,0.09550426,0.03736004,0.056342833,0.05270517
58,0.99039346,0.0047890353,8.9827e-05,7.864285e-05,0.0025031897,3.3565128e-05,0.0013734994,0.00027425398,6.500388e-05,0.00039936745
59,0.005506356,0.0122257015,0.9113257,0.003967195,0.01787032,0.027615426,0.0027443974,0.0011115695,0.015597422,0.002035866
60,0.4504256,0.39807525,0.032089308,0.013662019,0.01989784,0.030989597,0.030850653,0.008489862,0.0065779514,0.008941992
61,0.7623507,0.03136996,0.0061856615,0.05146736,0.047376674,0.03480539,0.029044256,0.012977949,0.005315304,0.019106634
62,0.75552535,0.06646561,0.01896441,0.01186449,0.050105356,0.045298997,0.019112103,0.016642392,0.009058482,0.0069627943
63,0.32000443,0.13910656,0.008033618,0.30167323,0.06506908,0.0865072,0.039261848,0.019316228,0.0132626,0.0077651264
64,0.9963547,0.0002658375,0.0001704956,7.947006e-06,0.0020613763,9.487618e-05,0.00029667516,0.0006380298,2.0362639e-05,8.982225e-05
65,0.23747149,0.05164397,0.02445939,0.13537969,0.13509913,0.23607689,0.05966092,0.039318517,0.058432173,0.022457782
66,0.25573102,0.7332458,0.0008093354,0.00041695457,0.0029938587,0.00030337748,0.0045617293,0.0011975252,0.00024712257,0.0004933012
67,0.7542933,0.04175521,0.007902077,0.044870213,0.03364734,0.021418734,0.03444322,0.04790026,0.0055496683,0.0082199555
68,0.15110782,0.724782,0.0017138466,0.06294474,0.021284124,0.007820751,0.027834551,0.0009691096,0.00043582448,0.001107308
69,0.22232938,0.5965967,0.009432011,0.04261198,0.06884198,0.020501599,0.030790063,0.0030529816,0.0023786034,0.003464758
70,0.6493497,0.15418683,0.016131265,0.015653353,0.06412166,0.024026202,0.039250437,0.018665705,0.004340548,0.014274444
71,0.9510185,0.001633455,4.1335792e-05,3.2896543e-05,0.0012370093,2.2878094e-05,0.0010588287,0.044887923,7.757449e-07,6.6370514e-05
72,0.50413483,0.13665512,0.016589474,0.050035715,0.14669369,0.041410103,0.06734097,0.024882186,0.0049639773,0.007293857
73,0.4555391,0.04023847,0.01644819,0.09255594,0.04739285,0.15532516,0.026660709,0.1316409,0.01847708,0.015721533
74,0.41021353,0.014959564,0.008235703,0.10061261,0.15798192,0.01902982,0.1486043,0.09552989,0.006364937,0.038467817
75,0.62051946,0.002036411,0.000947995,0.0009191538,0.026533308,0.0006860946,0.02462193,0.31092656,0.0012512901,0.011557849
76,0.017817684,0.85141456,0.11311312,0.0007061299,0.0011862391,0.009173712,0.0028532564,3.904978e-06,0.0034427792,0.00028878948
77,0.5839614,0.11583771,0.017100884,0.025451465,0.034504,0.042579047,0.052151646,0.09764526,0.00386714,0.026901519
78,0.034103967,0.053358242,0.6549453,0.011059688,0.014045424,0.107188165,0.018622883,0.0034763783,0.08309111,0.020108733
79,0.13117875,0.035086736,0.09414568,0.027750155,0.05740733,0.13479686,0.07290043,0.050460394,0.34251937,0.05375421
80,0.35169968,0.06629043,0.031667516,0.09181374,0.091020115,0.15766463,0.053099867,0.061927903,0.052283917,0.042532213
81,0.0951308,0.071608365,0.55275613,0.002377202,0.032436267,0.10235831,0.011102522,0.016900655,0.10884133,0.0064884587
82,0.8747642,0.02921279,0.000117994714,0.0018748195,0.008641747,0.001097457,0.028378777,0.05434217,7.3994845e-05,0.001495878
83,0.95998347,0.008624505,0.0002649937,0.00020400483,0.005634903,0.0003156761,0.011729131,0.0109306155,0.0007130559,0.0015997526
84,0.44516537,0.44103685,0.0035606772,0.06754364,0.01077354,0.0065158643,0.019372948,0.001326337,0.0009857487,0.003718868
85,0.020942014,0.020458445,0.83540255,0.0055508018,0.0032535307,0.04535151,0.0042376393,7.432505e-05,0.06348114,0.0012480861
86,0.8447695,0.015164476,0.0046946364,0.0035301896,0.026822502,0.005275584,0.028015163,0.03049199,0.0041901115,0.037045926
87,0.16810326,0.14297324,0.012100115,0.53309125,0.03591734,0.055089697,0.037703693,0.0009284335,0.0006489554,0.013443873
88,0.08482667,0.2663435,0.48008776,0.010698038,0.02416933,0.06129976,0.02506271,0.0033007213,0.03239036,0.011821003
89,0.113123834,0.012524833,0.013783605,0.38010636,0.08283858,0.072254874,0.043743663,0.2566942,0.008416038,0.016514042
90,0.5178169,0.025362832,0.022169903,0.08874507,0.045996483,0.04682624,0.052298576,0.16637707,0.012547112,0.021859791
91,0.32747886,0.049652077,0.108660385,0.07085088,0.11205171,0.11665028,0.028944507,0.09174595,0.027383229,0.06658214
92,0.12809706,0.14104222,0.5164171,0.020865584,0.03344184,0.06714647,0.025741935,0.0024607985,0.055413134,0.009373917
93,0.968889,0.009674984,0.00021915983,0.00011091915,0.0028274823,0.0001519675,0.007499689,0.008834686,9.654604e-05,0.0016956361
94,0.99500835,0.001713773,0.00031653428,1.0941892e-05,0.002316784,4.0483017e-05,0.00026649292,0.00019426139,4.3509295e-05,8.880772e-05
95,0.9239057,0.017422244,0.0003870832,0.0049819774,0.029413298,0.0030427554,0.015127194,0.0018556749,0.00053955347,0.0033244744
96,0.52279174,0.027752122,0.004104308,0.17013924,0.05843703,0.014133528,0.07067519,0.0939016,0.0060272664,0.032037858
97,0.0893944,0.0030027272,0.01512779,0.008137725,0.2491945,0.5846043,0.008029054,0.0109076975,0.030053478,0.0015482171
98,0.24353854,0.0983291,0.017128369,0.34592563,0.04371742,0.12687947,0.03256616,0.05174052,0.009302518,0.030872213
99,0.24041758,0.5993614,0.018759953,0.032306183,0.048138164,0.0157354,0.022650266,0.010122668,0.007642568,0.004865762
100,0.3130158,0.011142664,0.13288425,0.009732705,0.20157623,0.14094391,0.02207315,0.05695456,0.07581141,0.0358653
101,0.97152776,0.004673664,0.00026197097,0.00077505,0.008383687,0.00076996157,0.0045167697,0.007445066,0.000107788015,0.0015381353
102,0.18456829,0.03142619,0.009776881,0.3637838,0.11079402,0.12005728,0.08567745,0.047165446,0.018318,0.0284327
103,0.4395846,0.021239059,0.040683355,0.033702705,0.15914163,0.19684255,0.01433906,0.021083169,0.05142157,0.021962343
104,0.56711775,0.052223243,0.004304085,0.06551076,0.043662976,0.08090024,0.08872921,0.07599807,0.008114101,0.013439617
105,0.19650558,0.55809355,0.0057476116,0.118909284,0.033760734,0.055364385,0.024836585,0.0007045298,0.0035463485,0.0025312654
106,0.86345494,0.1284572,7.181472e-05,0.000118875505,0.0010583246,1.9213381e-05,0.0037062643,0.0028049857,9.474817e-05,0.00021359038
107,0.6669399,0.017677529,0.0031668206,0.004763278,0.06685797,0.0175486,0.019234113,0.19276768,0.006918536,0.0041255397
108,0.9996512,0.00018791406,1.6712037e-06,1.4305813e-06,7.615061e-05,7.294273e-07,7.4389776e-05,1.4997339e-06,2.6284502e-08,4.9488463e-06
109,0.18746157,0.48484164,0.02696856,0.095684014,0.047283314,0.045574736,0.07889388,0.003682042,0.015730644,0.013879544
110,0.4841184,0.009738108,0.0027079203,0.013790368,0.10024352,0.021615535,0.014415824,0.33106348,0.0003165259,0.021990376
111,0.15467353,0.18160821,0.25363433,0.110078454,0.059568267,0.054174047,0.041062877,0.025049575,0.09413558,0.026015194
112,0.0077217533,0.9737632,0.01283038,0.00019366921,0.0002606477,0.00035159496,0.0047791474,5.680977e-05,1.7181334e-05,2.5650359e-05
113,0.86838734,0.022095378,0.0012716866,0.0022631555,0.03429796,0.001699546,0.023334082,0.033538904,0.0017833747,0.011328562
114,0.7042413,0.024462735,0.01720085,0.01516974,0.043197505,0.023524607,0.03431549,0.071743056,0.02072435,0.045420423
115,0.9621941,0.036539752,2.695561e-06,1.0912561e-06,0.0004485076,1.0972865e-05,0.0006365843,9.5907635e-05,1.0583012e-06,6.924517e-05
116,0.6449749,0.004011762,0.002518142,0.05036707,0.08590714,0.014251746,0.0695313,0.097657904,0.0021369269,0.028643107
117,0.97752494,0.0130904,0.0008758391,2.8143962e-05,0.0033221233,0.0001255757,0.004625112,0.00016508393,4.709668e-05,0.00019556454
118,0.93101335,0.043618158,0.0027524163,0.00081943505,0.0138517255,0.0010648025,0.0039935107,0.0012826491,0.0011424753,0.00046147674
119,0.99058443,0.003456912,7.896859e-05,7.683935e-05,0.003275977,6.560188e-05,0.001655255,0.0005628825,1.0464756e-05,0.0002325345
120,0.5259917,0.059040397,0.26929462,0.0075776465,0.056530897,0.018250419,0.010098498,0.027482912,0.016313607,0.009419298
121,0.9495265,0.009722348,0.00074143277,0.0007259358,0.012580129,0.0020310443,0.0076856795,0.016223397,0.00013652345,0.00062722916
122,0.99840254,0.000473874,1.6081196e-06,1.1767276e-06,0.0007106301,5.708673e-06,0.0003222495,3.5765435e-05,1.228351e-06,4.4974753e-05
123,0.10461701,0.79306436,0.020244414,0.033075664,0.021699095,0.009173682,0.010725433,0.0012661963,0.0042813057,0.0018528926
124,0.97512823,0.009111225,0.00021398069,0.00050455396,0.005541637,0.0001656087,0.0054253046,0.0022310105,5.6299436e-05,0.0016221685
125,0.13041991,0.10725147,0.5411361,0.012727773,0.08022015,0.048053652,0.023340065,0.0107864225,0.030390631,0.015673911
126,0.20902188,0.17557517,0.027711308,0.11651286,0.1343495,0.14709088,0.07564238,0.01910595,0.060340684,0.03464946
127,0.74043375,0.056019142,0.0186838,0.02156044,0.028687004,0.036896717,0.02780771,0.033772517,0.0047750315,0.031363808
128,0.9968644,0.002476481,3.0847154e-05,9.016931e-06,0.0002756113,0.0001018922,0.00011957147,0.00011406619,3.9066385e-06,4.12202e-06
129,0.051318906,0.24314179,0.30148414,0.039342213,0.011468677,0.051365506,0.025419112,0.008206215,0.25632116,0.011932334
130,0.19297858,0.76273245,0.00077176216,0.037208166,0.0008707309,0.00061656954,0.0036885915,0.0002982505,0.0005884335,0.00024645147
131,0.4163694,0.019010613,0.05694269,0.029034425,0.2803247,0.12021707,0.03261552,0.009572202,0.03188329,0.0040300637
132,0.8750576,0.0013888772,0.00046597837,0.00086861005,0.0058271363,0.00023631983,0.0050250157,0.10832192,0.00015269963,0.0026558284
133,0.841159,0.019217163,0.010702355,0.004825609,0.043520346,0.020865584,0.011205248,0.036890697,0.0052201655,0.0063938587
134,0.16679427,0.0625814,0.05072414,0.072693154,0.09855016,0.15732385,0.06137851,0.14012073,0.09565328,0.09418046
135,0.9025497,0.036143046,0.0011401731,0.011077475,0.008283402,0.018382369,0.019085277,0.0010627237,0.0011780619,0.0010978624
136,0.21491504,0.1089898,0.0075999075,0.49299422,0.051328372,0.045975227,0.03121893,0.029112538,0.0056230873,0.012242934
137,0.15310259,0.043991685,0.05593989,0.027122626,0.012276427,0.6604714,0.02029311,0.0010615267,0.024025708,0.0017150457
138,0.015720457,0.0047837375,0.90719026,0.0027639363,0.032031972,0.021610707,0.0017193253,0.00050488766,0.013233357,0.0004413578
139,0.29925644,0.008488491,0.29574758,0.019841054,0.082089685,0.1652967,0.020049036,0.015913023,0.07795353,0.015364552
140,0.62456733,0.058472455,0.0067182956,0.048096076,0.05581974,0.010622424,0.061515264,0.059491575,0.0045715696,0.07012514
141,0.7913457,0.031707108,0.0016827333,0.004834268,0.023304088,0.0020963533,0.05083523,0.08983474,0.00075120747,0.0036087094
142,0.6939668,0.009518063,0.0011134293,0.0081604505,0.014372032,0.0011426562,0.034211494,0.2247078,0.0007248627,0.012082513
143,0.58922243,0.22534321,0.006190204,0.021653224,0.05299454,0.020842476,0.044021904,0.027798079,0.0044645336,0.007469425
144,0.93857396,0.0058409777,0.0008091773,0.0006075941,0.03570392,0.0025248488,0.00462302,0.009875981,0.00018333113,0.0012571459
145,0.18983991,0.064458944,0.038453534,0.1681538,0.08944324,0.14552891,0.11029302,0.062956415,0.03200196,0.09887034
146,0.91167206,0.008017983,0.0003947122,0.0019212672,0.0024101285,0.00018129344,0.009714606,0.06338574,0.00048361375,0.0018187079
147,0.38458797,0.58016914,6.94053e-05,0.0035702402,0.004815903,0.00022322248,0.022171378,0.0037678895,4.7642963e-05,0.00057694217
148,0.679131,0.052726198,0.0052067996,0.075922884,0.06374037,0.045181636,0.03200406,0.03691582,0.0055983094,0.0035730903
149,0.22110106,0.095490284,0.31003737,0.004180464,0.18296218,0.035973642,0.02173531,0.017804874,0.098584644,0.01213022
150,0.89565253,0.09147961,0.003656172,0.00015850064,0.0022185133,0.00024300427,0.0034971698,0.0011177579,0.0011628108,0.00081396895
151,0.23868038,0.7424824,0.0048735063,0.0076526375,0.0013031717,0.00072796625,0.0034647982,0.00013302718,0.00053376507,0.00014834564
152,0.47273353,0.047424592,0.020358948,0.12333127,0.06796848,0.09619889,0.04538194,0.06503808,0.024003621,0.037560817
153,0.06307347,0.9286821,0.001236133,0.004285689,0.0005731747,0.00019083176,0.0016081107,0.00014184402,0.00017712943,3.1401225e-05
154,0.14746888,0.13916792,0.036560725,0.3559445,0.07985192,0.10686798,0.05535321,0.026079917,0.015617223,0.0370878
155,0.17013809,0.13624726,0.04928288,0.2826455,0.051650874,0.17479695,0.05594916,0.009864125,0.047038537,0.022386516
156,0.86884815,0.077209644,0.0006558012,0.031954717,0.0036504143,0.004976613,0.0069499826,0.0026240055,0.0010060784,0.0021246218
157,0.19941247,0.026460445,0.14136897,0.040753298,0.11377445,0.040819656,0.073019594,0.27710852,0.025480213,0.061802324
158,0.46300092,0.025491914,0.005935045,0.026633764,0.09272515,0.043318316,0.17982788,0.109426074,0.014014122,0.039626822
159,0.4858565,0.07181497,0.0073069157,0.13045949,0.054761536,0.054697458,0.06586152,0.10258806,0.013891003,0.012762637
160,0.34034777,0.079939745,0.01105033,0.17093359,0.13597114,0.061325073,0.06907602,0.099761024,0.018548682,0.013046632
161,0.48188224,0.022519996,0.057095777,0.020712875,0.08152596,0.03413485,0.078286685,0.14078408,0.043177634,0.039879855
162,0.3359985,0.094730996,0.036969196,0.2584139,0.04428567,0.11132625,0.033450343,0.022312326,0.04364302,0.018869767
163,0.5034117,0.022726493,0.015836118,0.02186339,0.07408145,0.022673292,0.0808987,0.2159682,0.00963077,0.03290993
164,0.17518412,0.63159364,0.0012679546,0.018820142,0.0027548845,0.1577778,0.01106309,1.1150639e-05,0.00091823563,0.00060898805
165,0.23941341,0.045574497,0.049681585,0.1654686,0.10518183,0.14294924,0.054006428,0.09298458,0.060870614,0.043869335
166,0.35877147,0.07007288,0.043029904,0.11377843,0.057816304,0.097853005,0.08073885,0.06738332,0.0656867,0.044869076
167,0.454944,0.028394464,0.018582923,0.053032313,0.101557665,0.058039516,0.08603948,0.11081731,0.053161323,0.035430957
168,0.8615576,0.015644088,0.0059915176,0.008670228,0.031436585,0.029569704,0.019676214,0.011460117,0.008499049,0.007494928
169,0.20607442,0.07413313,0.048468594,0.28409207,0.07103828,0.19542621,0.04103942,0.020436319,0.027263857,0.032027714
170,0.2422829,0.07418396,0.016383471,0.18959783,0.11932194,0.17566545,0.07291852,0.0516499,0.035201993,0.022794232
171,0.10411711,0.79041207,0.032210372,0.020461373,0.006034154,0.036430713,0.00807843,0.000103668266,0.0018013591,0.00035072948
172,0.38792065,0.016023915,0.011612802,0.05593837,0.18533504,0.14839052,0.06740197,0.080851614,0.033303138,0.013221861
173,0.49667782,0.007816,0.014153629,0.009500446,0.16632818,0.027705718,0.033017956,0.22659855,0.0046349997,0.0135667045
174,0.46094936,0.040636536,0.010970618,0.11972087,0.09052715,0.073464744,0.0572224,0.1204963,0.016959142,0.009052888
175,0.97980714,0.009755819,0.00036944487,0.0011004055,0.003574859,0.0002983224,0.0031927996,0.0011866722,3.0085073e-05,0.00068442465
176,0.3077424,0.6828537,0.000879751,0.0032073988,0.0013454959,0.00026268032,0.003367717,0.000115311195,5.828887e-05,0.00016722984
177,0.59621537,0.36572233,0.011229718,0.0030321698,0.0060551194,0.0022278079,0.010366758,0.0020702544,0.002269542,0.0008109839
178,0.3379445,0.059703097,0.014696119,0.2093442,0.09010211,0.13989909,0.053708617,0.066631705,0.009274127,0.018696362
179,0.49253985,0.052984063,0.007870802,0.027453855,0.08258695,0.14722405,0.02923107,0.09217285,0.008319247,0.059617303
180,0.41960016,0.06840047,0.02043074,0.09463994,0.13179053,0.04453184,0.09933923,0.08408149,0.00645081,0.030734772
181,0.9534587,0.006776879,0.00021717211,0.0005803453,0.00069184403,0.00015039314,0.008343012,0.025934346,8.317355e-05,0.0037639742
182,0.64000297,0.19405237,0.033275194,0.024607215,0.0330331,0.011438669,0.02439645,0.01732638,0.008064981,0.013802607
183,0.07300216,0.91916525,0.0031146256,0.00057976355,0.0010537647,0.0012927955,0.0013219528,9.379543e-06,0.00044366907,1.6683778e-05
184,0.38827643,0.38727313,0.046791144,0.022992607,0.013457898,0.07058189,0.054615263,0.0012660185,0.011419577,0.0033260835
185,0.405433,0.39615065,0.036009867,0.025825063,0.033711378,0.025208058,0.041235615,0.0033112983,0.01572898,0.017386096
186,0.97329164,0.009126589,0.000284813,0.00034626984,0.005908885,0.0010806907,0.0011717078,0.008613409,7.556148e-05,0.000100507816
187,0.019819576,0.005956765,0.8201726,0.0105775455,0.03583578,0.08812716,0.0029608407,0.0014248841,0.014260348,0.0008644456
188,0.6887195,0.017006915,0.0685659,0.005085452,0.050864384,0.0724759,0.012924946,0.039445408,0.033449955,0.011461685
189,0.74785584,0.106783785,0.024398439,0.011216195,0.025017742,0.0213849,0.03729009,0.0073210653,0.0051082694,0.013623624
190,0.37838742,0.08629201,0.0143113155,0.18271074,0.10837073,0.03590573,0.054576777,0.08133528,0.0061620013,0.051947795
191,0.30524296,0.18055975,0.069089696,0.082182266,0.07295453,0.088928334,0.09116305,0.008886307,0.08345148,0.017541597
192,0.049727015,0.94828457,0.00070038566,0.0004590104,0.00033270635,0.00013939437,0.00030982346,6.1362834e-06,3.379178e-05,7.160761e-06
193,0.669432,0.03721567,0.002103438,0.054336242,0.07880261,0.009703139,0.07290005,0.04932235,0.00233858,0.023845976
194,0.11806211,0.030340275,0.1961029,0.0020061242,0.077262074,0.023006668,0.02129787,0.009314822,0.49528053,0.02732656
195,0.8349406,0.008466364,0.00020202565,0.018438475,0.01939764,0.0050453753,0.054980937,0.051052988,0.00093442714,0.0065412135
196,0.015445422,0.028197438,0.9254809,0.00034695552,0.0060104337,0.013154205,0.0022882584,3.3643464e-05,0.007488303,0.0015545005
197,0.04409466,0.8435529,0.08716933,0.0058660167,0.0026588563,0.00864658,0.0039945655,2.8691296e-05,0.0036628272,0.00032549427
198,0.9774458,0.016454231,2.1464444e-05,0.00024840859,0.001748669,8.595003e-05,0.0018309411,0.0019822405,2.9140574e-05,0.00015327496
199,0.4533767,0.3762848,0.03557869,0.019013885,0.014690827,0.0032416347,0.061711818,0.024923254,0.0033113456,0.007867153
200,0.54894865,0.060742434,0.005235547,0.08280177,0.061988115,0.016655887,0.039477844,0.16286789,0.0031659405,0.01811592
201,0.31532156,0.6616164,0.00042592987,0.0049076388,0.0032914786,0.001143163,0.012216026,0.0006523162,0.00020843027,0.00021692591
202,0.43096554,0.046224266,0.02142774,0.04868752,0.18076956,0.051864244,0.09310924,0.04405126,0.03884907,0.04405169
203,0.26550213,0.05200074,0.0034218666,0.16969867,0.12326184,0.114669934,0.17832768,0.04180853,0.0029664512,0.048342142
204,0.9905184,0.008625426,2.9337914e-05,1.3522153e-05,0.00022960524,2.7796612e-05,0.00047825644,3.810014e-05,5.5624405e-06,3.3974007e-05
205,0.18428071,0.2878808,0.14401278,0.1902578,0.062127806,0.08112962,0.025059465,0.0025515077,0.0046561914,0.01804331
206,0.7125917,0.20981716,0.0023128563,0.022786058,0.008759478,0.013897365,0.019152962,0.006287133,0.0025820557,0.0018132846
207,0.14264083,0.21526098,0.27392313,0.024824439,0.11844159,0.12582403,0.025475673,0.009347291,0.061040428,0.0032215957
208,0.4333302,0.09321215,0.06736255,0.09009385,0.0769271,0.04815384,0.056055386,0.10029843,0.01253788,0.022028612
209,0.31174418,0.10016997,0.036103617,0.17559062,0.12980552,0.056523554,0.13120994,0.021609664,0.014755801,0.022487044
210,0.07152437,0.04345525,0.7184219,0.0118130185,0.032036055,0.09657685,0.007009763,0.0018155829,0.013642608,0.0037045996
211,0.5903676,0.09061054,0.0030466912,0.22164059,0.019800961,0.020011734,0.03403977,0.0086194705,0.0020251584,0.009837493
212,0.12421835,0.21650118,0.10485945,0.17988648,0.060634885,0.10667234,0.0610248,0.006565802,0.10360848,0.036028374
